Z,N,symbol, jp, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc
0,1,n,1/2+,613.9,0.6,B-,100,,,,,,,
0,4,n,0+,1.75E-22,0,,,,,,,,,
0,6,n,,,,,,,,,,,,
1,0,H,1/2+,,,,,,,,,,,
1,1,H,1+,,,,,,,,,,,
1,2,H,1/2+,388781328,631138.5195,B-,100,,,,,,,
1,3,H,2-,,,N,100,,,,,,,
1,4,H,(1/2+),8.61E-23,6.50E-24,2N,100,,,,,,,
1,5,H,,2.94E-22,8.36E-23,,,,,,,,,
1,6,H,(1/2+),5.07E-21,2.82E-20,,,,,,,,,
2,1,He,1/2+,,,,,,,,,,,
2,2,He,0+,,,,,,,,,,,
2,3,He,3/2-,7.04E-22,0,N,,,,,,,,
2,4,He,0+,0.8067,0.0015,B-,100,,,,,,,
2,5,He,(3/2)-,3.04E-21,4.06E-22,N,,,,,,,,
2,6,He,0+,0.1191,0.0012,B-,100,,B-N,16,1,,,
2,7,He,1/2+,,,N,100,,,,,,,
2,8,He,(0+),1.52E-21,1.01E-21,N,100,,,,,,,
3,1,Li,2-,,,P,100,,,,,,,
3,2,Li,3/2-,3.71E-22,0,P,,,,,,,,
3,3,Li,1+,,,,,,,,,,,
3,4,Li,3/2-,,,,,,,,,,,
3,5,Li,2+,0.8399,0.0009,B-,100,,B-A,100,,,,
3,6,Li,3/2-,0.1783,0.0004,B-,100,,B-N,50.8,0.2,,,
3,7,Li,(1- 2-),,,N,100,,,,,,,
3,8,Li,3/2-,0.00875,0.00014,B-,100,,B-N,,,,,
3,9,Li,(1- 2-),,,N,100,,,,,,,
4,2,Be,0+,4.96E-21,3.23E-22,A,100,,2P,100,,,,
4,3,Be,3/2-,4598208,5184,EC,100,,,,,,,
4,4,Be,0+,8.19E-17,3.68E-18,A,100,,,,,,,
4,5,Be,3/2-,,,,,,,,,,,
4,6,Be,0+,4.77E+13,1.26E+12,B-,100,,,,,,,
4,7,Be,1/2+,13.76,0.07,B-,100,,B-A,3.1,,B-P,0.00083,
4,8,Be,0+,0.02146,0.00005,B-,100,,B-N,0.5,0.03,,,
4,9,Be,(1/2-),2.70E-21,1.80E-21,N,,,,,,,,
4,10,Be,,0.00435,0.00017,B-,100,,B-N,81,4,B-2N,5,2
4,11,Be,(5/2+),7.87E-22,2.71E-22,N,100,,,,,,,
4,12,Be,0+,5.70E-22,1.43E-22,N,100,,,,,,,
5,2,B,(3/2-),5.70E-22,1.42E-23,P,100,,,,,,,
5,3,B,2+,0.77,0.003,EC+B+,100,,B+A,100,,,,
5,4,B,3/2-,8.45E-19,3.29E-19,P,100,,,,,,,
5,5,B,3+,,,,,,,,,,,
5,6,B,3/2-,,,,,,,,,,,
5,7,B,1+,0.0202,0.00002,B-,100,,B-A,0.6,0.02,,,
5,8,B,3/2-,0.01733,0.00017,B-,100,,B-N,0.286,,,,
5,9,B,2-,0.0125,0.0005,B-,100,,B-N,6.1,,,,
5,10,B,,0.00993,0.00007,B-,100,,B-N,99.68,,,,
5,11,B,,4.56E-21,0,N,100,,,,,,,
5,12,B,(3/2-),0.00508,0.00005,B-,100,,B-N,63,1,B-2N,11,7
5,13,B,(2-),,,N,100,,,,,,,
5,14,B,3/2-,0.00292,0.00013,B-,100,,B-N,71.8,,B-2N,16,
5,15,B,(1- 2-),9.12E-22,0,N,100,,,,,,,
5,16,B,(3/2-),7.60E-22,0,2N,100,,,,,,,
6,2,C,0+,3.51E-21,1.35E-21,2P,100,,,,,,,
6,3,C,3/2-,0.1265,0.001,EC+B+,100,,B+P,62,1.9,B+A,37.9,5.8
6,4,C,0+,19.29,0.012,EC+B+,100,,,,,,,
6,5,C,3/2-,1221.84,0.84,EC+B+,100,,,,,,,
6,6,C,0+,,,,,,,,,,,
6,7,C,1/2-,,,,,,,,,,,
6,8,C,0+,1.80E+11,946707779.2,B-,100,,,,,,,
6,9,C,1/2+,2.449,0.005,B-,100,,,,,,,
6,10,C,0+,0.747,0.008,B-,100,,B-N,99,0.3,,,
6,11,C,3/2+,0.193,0.006,B-,100,,B-N,26,1.8,,,
6,12,C,0+,0.092,0.002,B-,100,,B-N,31.5,1.5,,,
6,13,C,(1/2+),0.0463,0.004,B-,100,,B-N,47,3,B-2N,7,3
6,14,C,0+,0.0163,0.00375,B-,100,,B-N,65,18,B-2N,18.6,
6,16,C,0+,0.0061,0.0013,B-,100,,B-N,61,,B-2N,37,
7,3,N,(1-),1.82E-22,1.28E-22,P,100,,,,,,,
7,4,N,1/2+,5.50E-22,1.99E-23,P,100,,,,,,,
7,5,N,1+,0.011,0.000016,EC+B+,100,,B+A,1.93,0.04,,,
7,6,N,1/2-,597.9,0.24,EC+B+,100,,,,,,,
7,7,N,1+,,,,,,,,,,,
7,8,N,1/2-,,,,,,,,,,,
7,9,N,2-,7.13,0.02,B-,100,,B-A,0.0012,0.0005,,,
7,10,N,1/2-,4.173,0.004,B-,100,,B-N,95.1,0.7,B-A,0.0025,
7,11,N,1-,0.619,0.002,B-,100,,B-A,12.2,0.6,B-N,12,1.3
7,12,N,1/2-,0.336,0.003,B-,100,,B-N,41.8,0.9,,,
7,13,N,(2-),0.1344,0.0037,B-,100,,B-N,42.9,1.4,,,
7,14,N,(1/2-),0.084,0.007,B-,100,,B-N,86,4,,,
7,15,N,(0-),0.023,0.003,B-,100,,B-N,34,3,B-2N,12,3
7,16,N,,0.0141,0.00125,B-,100,,B-N,42,6,B-2N,8,4
7,17,N,,0.000000052,,N,,,,,,,,
8,3,O,(3/2-),3.51E-22,0,2P,100,,,,,,,
8,4,O,0+,6.34E-21,0,2P,100,,,,,,,
8,5,O,(3/2-),0.00858,0.00005,EC+B+,100,,B+P,100,,,,
8,6,O,0+,70.606,0.018,EC+B+,100,,,,,,,
8,7,O,1/2-,122.24,0.16,EC+B+,100,,,,,,,
8,8,O,0+,,,,,,,,,,,
8,9,O,5/2+,,,,,,,,,,,
8,10,O,0+,,,,,,,,,,,
8,11,O,5/2+,26.88,0.05,B-,100,,,,,,,
8,12,O,0+,13.51,0.05,B-,100,,,,,,,
8,13,O,(5/2+),3.42,0.1,B-,100,,,,,,,
8,14,O,0+,2.25,0.09,B-,100,,B-N,22,,,,
8,15,O,1/2+,0.097,0.008,B-,100,,B-N,7,2,,,
8,16,O,0+,0.072,0.005,B-,100,,B-N,42,5,,,
8,17,O,,,,N,100,,,,,,,
8,18,O,0+,4.50E-12,3.30E-12,2N,100,,,,,,,
9,5,F,2-,5.01E-22,5.51E-23,,,,,,,,,
9,6,F,1/2+,6.91E-22,2.09E-23,P,100,,,,,,,
9,7,F,0-,1.14E-20,5.70E-21,P,100,,,,,,,
9,8,F,5/2+,64.49,0.16,EC+B+,100,,,,,,,
9,9,F,1+,6586.2,3,EC+B+,100,,,,,,,
9,10,F,1/2+,,,,,,,,,,,
